level_0,index,ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
1593,1593,0345367421,water method man,john,1990,ballantine
1594,1594,0060004533,neal pollack antholog american literatur collect write neal pollack,n pollack,2002,perennial
1595,1595,0380002930,watership,richard,1976,avon
1596,1596,080215185X,teach u outgrow mad,k oe,1977,grove
1597,1597,0718143043,safe hou,f nicci,1998,michael
1598,1598,0486280489,scarlet letter dover thrift edit,h nathaniel,1994,dover
1599,1599,0553562967,bellweth,c willis,1997,bantam
1600,1600,0446363170,cape cod,william,1992,warner
1601,1601,0804110379,danger mourn william monk novel paperback,perry,1992,fawcett
1602,1602,0449003183,brunswick garden charlott thoma pitt novel paperback,perry,1999,fawcett
1603,1603,0449210952,death devil acr,perry,1989,fawcett
1604,1604,0312971346,high five stephani plum novel,e janet,2000,martin
1605,1605,0399147101,potshot,b robert,2001,putnam
1606,1606,0449146383,vampir,romkey,1993,fawcett
1607,1607,0446603066,guilt associ,r sloan,1996,warner
1608,1608,0140280553,galileo daughter histor memoir scienc faith love,sobel,2000,penguin
1609,1609,0930031067,man plant tree,g jean,1987,company
1610,1610,0060958022,five quarter orang,h joanne,2002,perennial
1611,1611,0385474016,like water chocol novel monthli instal recip romanc home remedi,e laura,1994,doubleday
1612,1612,0380804700,partner crime,j jance,2003,avon
1613,1613,8806143042,almost blue stile libero,c lucarelli,1997,einaudi
1614,1614,0553210114,red badg courag bantam classic,c stephen,1981,bantam
1615,1615,0156658992,nine tailor,sayers,1966,harvest
1616,1616,3499123665,die hexen von eastwick roman,j updike,1987,rowohlt
1617,1617,3548603203,artemi fowl,c eoin,2003,ullstein
1618,1618,2020482363,san nouvel de gurb,e mendoza,2001,seuil
1619,1619,052594527X,girl pearl ear,c tracy,1999,dutton
1620,1620,3596122279,da superwieb,h lind,2002,distribook
1621,1621,3404141970,wolfsherz,h wolfgang,1999,lã
1622,1622,0345338545,follow river,thom,1996,ballantine
1623,1623,0375701044,person histori,g katharine,1998,vintage
1624,1624,0316158720,archivist,c martha,1998,little
1625,1625,0007154615,unless novel,c shields,2003,perennial
1626,1626,0375412824,dive clausen pier alex award,packer,2002,knopf
1627,1627,1558743669,child call one child courag surviv,pelzer,1995,communication
1628,1628,084236661X,strong child birth adolesc,james,1985,publisher
1629,1629,059045367X,monster blood goosebump three,l stine,1995,scholastic
1630,1630,0590453661,stay basement goosebump two,l stine,1995,scholastic
1631,1631,0441005764,mossflow redwal book two,b jacques,1998,ace
1632,1632,0553582135,final target,johansen,2002,bantam
1633,1633,0671034065,mr perfect,h linda,2000,atria
1634,1634,0451410777,sleep tight onyx book,frasier,2003,onyx
1635,1635,0399147772,orchid blue holli barker novel hardcov,woods,2001,putnam
1636,1636,0440237416,warn sign,white,2003,company
1637,1637,0439101336,christma carol scholast classic,c dickens,2000,scholastic
1638,1638,0399147284,chosen prey,j sandford,2001,putnam
1639,1639,039914210X,cat tail thief,b lilian,1997,putnam
1640,1640,0380730359,gone babi gone novel,lehane,1999,harpertorch
1641,1641,0880381736,dragon autumn twilight dragonl chronicl vol one,weis,1990,tsr
1642,1642,8433966111,la musica del azar,paul,1998,anagrama
1643,1643,0767907817,bookend novel,g jane,2003,broadway
1644,1644,0385720106,map world,h jane,1999,doubleday
1645,1645,0553208845,siddhartha,h hesse,1981,bantam
1646,1646,0064400581,juli wolf juli wolf,c jean,1972,harpertrophy
1647,1647,0571142745,buddha suburbia,h kureishi,1991,faber
1648,1648,030681188X,lose friend alien peopl,young,2002,dacapo
1649,1649,0842329218,tribul forc continu drama left behind left behind two,l tim,1997,publisher
1650,1650,0684823780,mere christian,c lewis,1996,simon
1651,1651,0553574965,last famili,j r,1997,bantam
1652,1652,0440225698,klone high tech love stori,steel,1999,company
1653,1653,0440221471,runaway juri,g john,1997,dell
1654,1654,0394541545,texa,j michener,1990,random
1655,1655,0743216458,band brother e compani five hundr six regiment one hundr one airborn normandi hitler eagl nest,stephen,2001,simon
1656,1656,0061007129,kane abel,jeffrey,1993,harpertorch
1657,1657,0886773784,arrow queen herald valdemar book one,l mercedes,1996,daw
1658,1658,0883657635,roger cara treasuri great cat stori,c roger,1992,corporation
1659,1659,0425143325,without remor,c tom,2004,berkley
1660,1660,0425180964,bear dragon jack ryan novel,c tom,2001,berkley
1661,1661,0812520793,throne isi,j tarr,1995,tor
1662,1662,0399148019,absenc nectar,h kathy,2001,putnam
1663,1663,0140620869,alic adventur wonderland penguin popular classic,c lewis,1994,penguin
1664,1664,0553801589,tail tip,b rita,2003,bantam
1665,1665,0743411250,woman next door,b delinsky,2002,pocket
1666,1666,0312955510,heart justic heart justic,c william,1995,martin
1667,1667,0345396537,first king shannara,b terry,1997,del
1668,1668,0452272092,far god novel,castillo,1994,plume
1669,1669,3499137909,der plan von der abschaffung de dunkel,h peter,1998,rowohlt
1670,1670,0451521285,tragedi hamlet princ denmark signet classic shakespear seri,william,1993,signet
1671,1671,0060502258,divin secret ya ya sisterhood novel,r wells,2002,harpertorch
1672,1672,0395869463,bookshop novel,f penelope,1997,mariner
1673,1673,0064407721,kiss witch old tale new skin,emma,1999,harpertrophy
1674,1674,0553266055,thing wise wonder,h james,1981,bantam
1675,1675,0802132952,nake lunch,b william,1992,grove
1676,1676,0140089365,q legaci,h hanff,1986,penguin
1677,1677,038072345X,anno dracula,k newman,1994,paperback
1678,1678,0671025570,duan depress,l mcmurtry,1999,pocket
1679,1679,0553274864,grief observ,c lewis,1983,bantam
1680,1680,8845909840,la variant di lãâ¼neburg fabula,paolo,1993,adelphi
1681,1681,0061020710,color magic,p terry,2000,harpertorch
1682,1682,0440204887,illu adventur reluct messiah,b richard,1994,company
1683,1683,0345339681,hobbit enchant prelud lord ring,j tolkien,1986,del
1684,1684,0345272579,hobbit,j tolkien,1977,ballantine
1685,1685,0385199570,stand complet uncut edit,k stephen,1990,doubleday
1686,1686,3423205202,mittsommermord roman,h mankell,2002,dtv
1687,1687,3453169247,der verrat,g john,2000,heyne
1688,1688,3442541751,russendisko,k wladimir,2002,goldmann
1689,1689,3423202947,hund von riga,h mankell,2000,dtv
1690,1690,0374332657,hole newberi medal book,l sachar,1998,farrar
1691,1691,0842321942,second chanc left behind kid two,b jenkins,1998,publisher
1692,1692,0842321934,vanish left behind kid one,b jenkins,1998,publisher
1693,1693,0141304707,wonder stori henri sugar six,roald,2000,puffin
1694,1694,0679866957,juni b jone meani jim b day juni b jone six paper,b park,1996,random
1695,1695,044048474X,tale fourth grade noth,b judy,1976,yearling
1696,1696,0140309578,pippi longstock seafar book,lindgren,1997,puffin
1697,1697,044809553X,sky phantom nanci drew mysteri stori fifti three,c keene,1976,grosset
1698,1698,1562470752,meet addi american girl american girl collect paper,c porter,1993,sun
1699,1699,0689817215,view saturday jean karl book paperback,e l,1998,aladdin
1700,1700,3453025423,roter drach,h robert,2002,distribook
1701,1701,8807816806,spiriti,b stefano,2002,distribook
1702,1702,0553141406,smiley peopl,c le,1980,bantam
1703,1703,0517580497,plain passag earth child,jean,1990,random
1704,1704,1558744630,chicken soup teenag soul chicken soup soul,c jack,1997,communication
1705,1705,0394588169,jurass park,c michael,1990,knopf
1706,1706,0316143464,dress famili corduroy denim,sedaris,2004,little
1707,1707,0385336322,ransom steel daniel,steel,2004,delacorte
1708,1708,038533348X,cat cradl,k vonnegut,1998,delta
1709,1709,0553294385,robot,isaac,1991,spectra
1710,1710,1558746161,chicken soup teenag soul ii chicken soup soul seri,c jack,1998,hci
1711,1711,0553583867,husband test,b krahn,2001,bantam
1712,1712,0553568914,elvi jesu coca cola kinki friedman novel paperback,f kinky,1996,bantam
1713,1713,0671721291,ship search,mccaffrey,1992,baen
1714,1714,0553563521,devil waltz alex delawar novel paperback,j kellerman,1993,bantam
1715,1715,055357230X,clinic alex delawar novel paperback,j kellerman,1999,bantam
1716,1716,0399142282,hornet nest,c patricia,1997,putnam
1717,1717,0812513711,dragon reborn wheel time book three,j robert,1992,tor
1718,1718,0671004107,contact,c sagan,1997,pocket
1719,1719,0425173615,murder st mark place gaslight mysteri,victoria,2000,berkley
1720,1720,0671683993,templ familiar,walker,1990,pocket
1721,1721,0425098680,dinner homesick restaur,tyler,1992,ivy
1722,1722,0553245694,still life woodpeck,r tom,1981,bantam
1723,1723,0425168700,fortun daughter,hoffman,1999,berkley
1724,1724,0020519001,farewel arm scribner classic,e hemingway,1987,simon
1725,1725,0060973277,mambo king play song love,h oscar,1990,perennial
1726,1726,0439064872,harri potter chamber secret book two,j rowling,2000,scholastic
1727,1727,0679751602,mama make mind danger southern live,b white,1994,vintage
1728,1728,0688127169,run safeti adventur spirit,b richard,1994,harpercollin
1729,1729,0440784743,tale fourth grade noth,b judy,1979,yearling
1730,1730,1573247022,food revolut diet help save life world,j robbins,2001,conari
1731,1731,0451132157,rand ayn atla shrug signet shakespear,rand,1988,signet
1732,1732,0812580354,calcul god,j sawyer,2001,tor
1733,1733,1573226106,kitchen tabl wisdom stori heal,n remen,1997,riverhead
1734,1734,0553211404,jane eyr bantam classic,b charlotte,1983,bantam
1735,1735,0679447393,orchid thief,susan,1998,random
1736,1736,0515102652,cat talk ghost,b lilian,1996,jove
1737,1737,0312263996,timbuktu novel,paul,2000,picador
1738,1738,1400032717,curiou incid dog night time vintag contemporari,h mark,2004,vintage
1739,1739,1594200106,shadow wind,c zafon,2004,penguin
1740,1740,0553250515,member wed,c mccullers,1984,bantam
1741,1741,0374100128,correct oprah edit,f jonathan,2001,farrar
1742,1742,0452283868,sula,toni,2002,plume
1743,1743,0061097314,bean tree,b kingsolver,1998,harpertorch
1744,1744,074325547X,plan attack,b woodward,2004,simon
1745,1745,1573222453,kite runner alex award award,h khaled,2003,riverhead
1746,1746,0140119906,love time cholera penguin great book twenti centuri,g marquez,1994,penguin
1747,1747,0060987049,microserf,c douglas,1996,regan
1748,1748,0571169341,arcadia,tom,1994,faber
1749,1749,0060504080,small wonder essay,b kingsolver,2003,perennial
1750,1750,0684853701,beauti mind biographi john forb nash jr winner nobel prize econom one thousand nine hundr nineti four,n sylvia,1999,simon
1751,1751,0684831546,accordion crime,proulx,1997,scribner
1752,1752,0345404475,android dream electr sheep,philip,1996,del
1753,1753,0375404929,relief unbear urg,e nathan,1999,knopf
1754,1754,0684857820,lucki,sebold,1999,scribner
1755,1755,0140051317,tale unexpect,roald,1979,penguin
1756,1756,2246567610,nineti nine franc roman,b frãâ©dãâ©ric,2000,grasset
1757,1757,0060092645,favorit bride,c dodd,2002,avon
1758,1758,0451207378,ravish signet histor romanc,h virginia,2002,signet
1759,1759,0061031755,promi kiss,l stephanie,2002,avon
1760,1760,0812551583,someplac fli newford,c lint,1999,tor
1761,1761,0743410653,book die cliff janeway novel paperback,john,2000,pocket
1762,1762,0140124373,red dwarf,g naylor,2005,penguin
1763,1763,1853811262,cat eye,margaret,1995,trafalgar
1764,1764,0450411435,,k stephen,1987,trafalgar
1765,1765,037541309X,balzac littl chine seamstress,sijie,2001,knopf
1766,1766,1580083412,color parachut practic manual job hunter career changer,b richard,2001,ten
1767,1767,038549565X,ghost soldier epic account world war ii greatest rescu mission,h sides,2002,anchor
1768,1768,0743203399,wild blue men boy flew b twenti four germani one thousand nine hundr forti four forti five,stephen,2001,simon
1769,1769,0140018328,kiss kiss french languag edit,roald,1978,french
1770,1770,0553579606,ash ash,h tami,2000,bantam
1771,1771,0061013439,run,woods,2001,harpertorch
1772,1772,0679459596,billi straight novel,j kellerman,1999,random
1773,1773,0553578901,hostag bride,f jane,1998,bantam
1774,1774,0446605786,royal sale uk,k kelley,1998,warner
1775,1775,0425193896,cutwork,f monica,2004,berkley
1776,1776,0345382846,dragon,k sharon,1993,ballantine
1777,1777,006099486X,professor madman tale murder insan make oxford english dictionari,winchester,1999,perennial
1778,1778,068485080X,diana true stori commemor edit,morton,1997,simon
1779,1779,0684841347,one day soul open forti day forti night toward spiritu strength person growth,vanzant,1998,fireside
1780,1780,044652087X,sergei love stori,e gordeeva,1996,warner
1781,1781,0670855030,insomnia,k stephen,1994,viking
1782,1782,0517064626,mari higgin clark three complet novel weep ladi stillwatch cri night three novel one volum,c mary,1992,wing
1783,1783,0684810387,moonlight becom,c mary,1996,simon
1784,1784,0440183057,stillwatch,c mary,1986,dell
1785,1785,0671769200,realli love,rule,1992,pocket
1786,1786,0671250671,road le travel new psycholog love tradit valu spritual growth touchston book paperback,p scott,1980,touchstone
1787,1787,0440507294,real moment,barbara,1995,company
1788,1788,0553212141,heart dark secret sharer bantam classic,c joseph,1982,bantam
1789,1789,0743200985,ti memoir,f mccourt,2000,simon
1790,1790,0425118703,midnight,r,1995,berkley
1791,1791,0811802981,golden mean extraordinari correspond griffin sabin conclud,b nick,1993,chronicle
1792,1792,0380792737,island sequin l,c moore,1998,william
1793,1793,0571200435,buddha suburbia,h kureishi,2000,paperback
1794,1794,0446604763,mayday,b thomas,1998,warner
1795,1795,0060516283,gallow thief,b cornwell,2003,harpertorch
1796,1796,1878424424,masteri love practic guid art relationship toltec wisdom book,ruiz,1999,allen
1797,1797,0553109839,patient,palmer,2000,bantam
1798,1798,0316639842,unnatur exposur,c patricia,1997,company
1799,1799,0140296409,disgrac,c j,2000,penguin
1800,1800,3442442354,der strand,garland,2000,verlag
1801,1801,0670891576,heart sea tragedi whaleship essex,n philbrick,2000,penguin
1802,1802,3442431875,der pferdeflã ãâ¼sterer,e nicholas,1997,goldmann
1803,1803,0140259112,bed breakfast,b lois,1997,penguin
1804,1804,0375401598,pandora new tale vampir,rice,1998,knopf
1805,1805,0684802988,flood tide,c cussler,1997,simon
1806,1806,0061000043,thief time joe leaphorn jim chee novel,h tony,1990,harpertorch
1807,1807,0380699176,one hundr great fantasi short short stori,isaac,1987,paperback
1808,1808,0151006725,slammerkin,emma,2001,harcourt
1809,1809,0394751043,king must die,renault,1988,vintage
1810,1810,2070388905,comm un roman,pennac,1995,gallimard
1811,1811,0553289411,plain passag earth child paperback,jean,1991,bantam
1812,1812,0553258559,dragondrum harper hall trilog,mccaffrey,1996,spectra
1813,1813,0060011912,small town,b lawrence,2003,harpertorch
1814,1814,044661064X,first counsel,b meltzer,2001,warner
1815,1815,0553211803,middlemarch wadsworth seri mass commun,e george,1996,bantam
1816,1816,1551666839,dead run,e spindler,2003,mira
1817,1817,0805060200,boy water,stephen,1999,company
1818,1818,0312872402,kushiel avatar kushiel legaci,c jacqueline,2003,tor
1819,1819,0312872399,kushiel chosen kushiel legaci,c jacqueline,2002,tor
1820,1820,0765342987,kushiel dart,c jacqueline,2002,tor
1821,1821,0451456726,heir shadow black jewel trilog book two,bishop,1999,roc
1822,1822,0451456718,daughter blood black jewel trilog,bishop,1998,roc
1823,1823,0451456734,queen dark black jewel trilog,bishop,2000,roc
1824,1824,0571154913,remain day,kazuo,1999,faber
1825,1825,0446530522,cane river,l tademy,2001,warner
1826,1826,0330327917,ice hou,walters,1995,macmillan
1827,1827,0060092963,adventur scottish heiress,c maxwell,2003,avon
1828,1828,0060517611,ladi question,victoria,2003,avon
1829,1829,002026478X,age innoc movi tie,e wharton,1993,scribner
1830,1830,0345447840,surgeon,g tess,2002,ballantine
1831,1831,0312977360,church dead girl,stephen,2001,martin
1832,1832,034541103X,report life,c walter,1997,ballantine
1833,1833,0451201507,drudg manifesto,matt,2000,library
1834,1834,0553569791,last innoc man,phillip,1995,bantam
1835,1835,038000772X,im ok ok,h thomas,2004,harpercollin
1836,1836,044661193X,basket case,c hiaasen,2003,warner
1837,1837,0446401617,echo live,muller,1992,warner
1838,1838,0345428196,outfox,b rita,2000,ballantine
1839,1839,0821767747,good true,k michaels,2001,zebra
1840,1840,0060955406,peculiar memori thoma penman,b robinson,2000,perennial
1841,1841,0380793059,buri dead,c spector,2000,harpertorch
1842,1842,0440419468,hole,l sachar,2003,yearling
1843,1843,0446359866,presum innoc,turow,1989,warner
1844,1844,0446602612,poet,c michael,1997,warner
1845,1845,0446612790,two chanc,j patterson,2003,warner
1846,1846,0671676253,abyss,c scott,1989,pocket
1847,1847,0446606383,midnight club,j patterson,1999,warner
1848,1848,0553213148,ann avonlea ann green gabl novel paperback,l montgomery,1984,bantam
1849,1849,0380725584,indian cupboard rack indian cupboard,b reid,1995,harpertrophy
1850,1850,0679401032,uh oh observ side refrig door,f robert,1991,random
1851,1851,0394580567,fire lay,f robert,1989,random
1852,1852,0394571029,realli need know learn kindergarten uncommon thought common thing,f robert,1988,villard
1853,1853,0440128994,god save child,b robert,1994,company
1854,1854,0446365505,plead guilti,turow,1994,warner
1855,1855,002542730X,polit correct bedtim stori modern tale life time,f james,1994,son
1856,1856,0804111898,uh oh observ side refrig door,f robert,1993,ivy
1857,1857,0451203895,four blond,b candace,2002,signet
1858,1858,0345308999,foundat foundat novel paperback,isaac,1983,del
1859,1859,0345309006,foundat empir foundat novel paperback,isaac,1983,del
1860,1860,0553272535,night,e wiesel,1982,bantam
1861,1861,0445406488,cur pharaoh,e peters,1988,warner
1862,1862,0451209710,dewey decim system love,c josephine,2003,library
1863,1863,0312865031,gravelight,b zimmer,1997,martin
1864,1864,0449219631,jaw,b peter,1991,fawcett
1865,1865,0425104052,hound baskervil,sir,1993,berkley
1866,1866,0425181464,seduct death,j robb,2001,berkley
1867,1867,0449212858,rutland place,perry,1997,fawcett
1868,1868,0812505018,secret garden,b hodgson,1989,tor
1869,1869,0451458125,fool moon dresden file book two,b jim,2001,library
1870,1870,0553213377,three musket bantam classic,dumas,1984,bantam
1871,1871,067150987X,winter tale,h mark,1984,pocket
1872,1872,0345347951,childhood end,clarke,1987,del
1873,1873,0553574353,helter skelter true stori manson murder,b vincent,1996,bantam
1874,1874,0671721380,wheel fire serrat edg two,l mercedes,1992,baen
1875,1875,0446356018,cradl,g lee,1989,warner
1876,1876,0399136487,damia rowan,mccaffrey,1992,putnam
1877,1877,039480001X,cat hat,seuss,1957,random
1878,1878,0345273303,anoth roadsid attract,robbins,1977,ballantine
1879,1879,1857022424,ship news,proulx,1994,fourth
1880,1880,068484477X,stone river,h ursula,1997,touchstone
1881,1881,0393317552,gun germ steel fate human societi,jared,1999,company
1882,1882,0684853515,heart atlanti new fiction,k stephen,1999,scribner
1883,1883,0375504397,black hou,k stephen,2001,random
1884,1884,0452283205,fall angel,c tracy,2002,plume
1885,1885,0316779237,holiday ice stori,sedaris,1998,bay
1886,1886,0385421982,pelican brief,g john,1992,doubleday
1887,1887,0393040135,love warp mind littl,john,1997,company
1888,1888,0875421180,wicca guid solitari practit,c scott,1988,llewellyn
1889,1889,055308013X,privat eye,j kellerman,1992,bantam
1890,1890,8439709498,vivir para contarla,g marquez,2002,astran
1891,1891,0345311965,pebbl sky,isaac,1983,del
1892,1892,0451139739,christin,k stephen,1983,library
1893,1893,8807810778,il bar sotto il mare univers economica feltrinelli,b stefano,1989,feltrinelli
1894,1894,038072975X,midnight champagn novel mysteri horror,manette,2000,perennial
1895,1895,014006690X,woman brewster place penguin contemporari american fiction seri,g naylor,1983,penguin
1896,1896,0060975210,lover,marguerite,1992,harpercollin
1897,1897,0226424197,french lesson memoir,kaplan,1994,university
1898,1898,0316085251,boy youth,jo,1999,bay
1899,1899,0451185560,fear fli,e jong,1996,signet
1900,1900,1853260401,three musket wordsworth classic,dumas,1997,company
1901,1901,0553250531,valley hor,jean,1984,bantam
1902,1902,0553148001,clan cave bear novel,jean,1981,bantam
1903,1903,1579542085,pet letter god,b mark,1999,rodale
1904,1904,0671720414,gener warrior,mccaffrey,1991,baen
1905,1905,0440213525,client,g john,1994,company
1906,1906,0451188462,desper,k stephen,1997,signet
1907,1907,034525855X,spell chameleon magic xanth,piers,1977,ballantine
1908,1908,0441135560,damia ace scienc fiction,mccaffrey,1993,ace
1909,1909,0811807282,secret languag dream visual key dream mean,fontana,1994,chronicle
1910,1910,8472236552,un viejo que leia novela de amor old men read love stori colecciãâ³n andanza,l sepulveda,1993,editore
1911,1911,0060283122,bad begin seri unfortun event book one,l snicket,1999,harpercollin
1912,1912,0439136350,harri potter prison azkaban book three,j rowling,1999,scholastic
1913,1913,0671028367,deadli deci,k reichs,2001,pocket
1914,1914,0440235642,black may epic stori alli defeat german u boat may one thousand nine hundr forti three,g michael,1999,dell
1915,1915,0440111811,chang,steel,1984,dell
1916,1916,0064400557,charlott web trophi newberi,b white,1974,harpertrophy
1917,1917,0312870582,one one zero novel millennium,j r,1999,forge
1918,1918,3453061187,die juri roman,g john,1992,heyne
1919,1919,345305136X,da schweigen der lã ãâ¤mmer,h thomas,1991,heyne
1920,1920,0553568728,star war truce bakura star war random hou paperback,k tyers,1994,bantam
1921,1921,0553297988,jedi search star war jedi academi trilog vol one,kevin,1994,bantam
1922,1922,0884046818,battlefield earth saga year three thousand,h ron,1991,bridge
1923,1923,0345379802,star war han solo adventur three book one,b daley,1993,del
1924,1924,0886778697,fade sun trilog,c j,2000,daw
1925,1925,0679448594,primari color novel polit,anonymous,1996,random
1926,1926,0671867172,lotteri winner alvirah willi stori,c mary,1995,pocket
1927,1927,0061030635,wild justic,phillip,2001,harpertorch
1928,1928,0446613436,guardian,n sparks,2004,warner
1929,1929,0449006530,midnight voic,j saul,2003,ballantine
1930,1930,006109157X,dead eye,woods,1994,harpertorch
1931,1931,0440221315,gift,steel,1996,dell
1932,1932,0553576011,send flower,b sandra,2000,bantam
1933,1933,0345444892,murder ford theatr truman margaret capit crime seri,truman,2002,ballantine
1934,1934,0446527785,bend road,n sparks,2001,warner
1935,1935,0747257574,somewh someday,c josephine,2001,trafalgar
1936,1936,185326041X,great gatsbi,f scott,1999,lb
1937,1937,0312272057,dri memoir,burroughs,2003,martin
1938,1938,0142003190,nobl radianc,leon,2003,penguin
1939,1939,042518336X,american fuji,b sara,2002,berkley
1940,1940,0613329740,quidditch age,j rowling,2001,sagebrush
1941,1941,0613325419,fantast beast find,j rowling,2001,sagebrush
1942,1942,0439551234,mister monday key kingdom one,g nix,2003,scholastic
1943,1943,0836218353,yukon ho,b watterson,1989,andrew
1944,1944,0836204387,calvin hobb tenth anniversari book,b watterson,1995,andrew
1945,1945,0345441435,prospero child,j siegel,2001,del
1946,1946,0836217225,revel forti five pound pur,c guisewite,1993,andrew
1947,1947,0064407055,ella enchant trophi newberi,c levine,1998,harpertrophy
1948,1948,0553262505,wizard earthsea earthsea trilog book one,g ursula,1984,bantam
1949,1949,0689710887,greenwitch,c susan,1986,simon
1950,1950,0689710879,dark rise,c susan,1986,simon
1951,1951,0020427859,sea stone,c susan,1989,simon
1952,1952,0316107018,polit fashion aerodynam incorrect first outland collect,b breathed,1992,little
1953,1953,0441068804,blue sword,robin,1991,ace
1954,1954,0141309814,hero crown,robin,2000,puffin
1955,1955,0316096199,lucki memoir,sebold,2002,bay
1956,1956,8429710329,mecanoscrit del segon origen el trapezi twenti four,pedrolo,1974,edicion
1957,1957,0312272782,graceann book novel,l whitney,2001,martin
1958,1958,1551669307,gift last,macomber,2002,mira
1959,1959,0609807919,second help novel,mccafferty,2003,river
1960,1960,0060532149,bare necess,c matthews,2003,avon
1961,1961,081296683X,girl poker night novel,jill,2003,random
1962,1962,0373250525,start squar two red dress ink,c lissner,2004,ink
1963,1963,042515517X,year tiger,h jack,1996,berkley
1964,1964,0375713751,know,pearson,2003,knopf
1965,1965,0446526479,amanda wed novel,c jenny,2001,warner
1966,1966,0684859777,eat mango nake find pleasur everywh danc pit,sark,2001,fireside
1967,1967,0684859769,transform soup heal splendidli imperfect,sark,2000,fireside
1968,1968,0440224845,bittersweet,steel,2000,dell
1969,1969,0671864173,wait exhal,terry,1993,pocket
1970,1970,0373079613,enchant donovan legaci intim moment nine hundr sixti one,n roberts,1999,silhouette
1971,1971,0440200989,weep ladi,c mary,1993,dell
1972,1972,0671568175,let call sweetheart,c mary,1996,pocket
1973,1973,0449221504,k killer kinsey millhon mysteri paperback,g sue,1999,fawcett
1974,1974,0446607193,unspeak,b sandra,1999,warner
1975,1975,0671705091,knight shine armor,jude,1990,pocket
1976,1976,0373484003,irish heart,n roberts,2000,silhouette
1977,1977,0440223237,malic,steel,1997,dell
1978,1978,0679882820,mr brown moo dr seusss book wonder noi bright earli board book,seuss,1996,random
1979,1979,0399226907,hungri caterpillar board book,c eric,1994,philomel
1980,1980,1558747109,chicken soup cat dog lover soul celebr pet famili stori cat dog critter,c jack,1999,communication
1981,1981,0786884142,monk swim memoir,mccourt,1999,hyperion
1982,1982,0767905385,catch true stori real fake,r stan,2000,broadway
1983,1983,0671793551,fever heart ann rule crime file volum iii,rule,1996,pocket
1984,1984,0440211263,circl friend,b maeve,1991,dell
1985,1985,0553260111,bourn ident,l robert,1984,bantam
1986,1986,0380775840,amber beach donovan,e lowell,1998,avon
1987,1987,0394900014,cat hat read beginn book,seuss,1957,random
1988,1988,0894803123,ben jerri homemad ice cream dessert book,b cohen,1987,workman
1989,1989,1551665638,call destini mira,krentz,2000,mira
1990,1990,0553575007,touch enchant,teresa,1997,bantam
1991,1991,0553563343,breath magic,teresa,1996,bantam
1992,1992,0743411439,bitterroot,b lee,2002,pocket
1993,1993,0553347233,beet queen,e louise,1989,bantam
1994,1994,0767900383,tuscan sun,f mayes,1997,broadway
1995,1995,0786889055,voodoo river elvi cole novel paperback,c robert,1996,hyperion
1996,1996,0440212626,hard fall,p ridley,1992,company
1997,1997,0553265415,smarter babi infant stimul program enhanc babi natur develop,h susan,1987,bantam
1998,1998,0380804697,paradi lost,j jance,2002,avon
1999,1999,0425178951,deep south,b nevada,2001,berkley
2000,2000,0684865742,ti memoir,f mccourt,2000,scribner
2001,2001,0385313632,hard time v warshawski novel hardcov,p sara,1999,delacorte
2002,2002,0380772469,forev embrac,e woodiwiss,1993,avon
2003,2003,0380899361,come love stranger,e woodiwiss,1986,avon
2004,2004,0671728571,wildest heart,krentz,1993,pocket
2005,2005,0671034006,heartbreak,g julie,2001,pocket
2006,2006,0425116840,cardin kremlin jack ryan novel,c tom,1989,berkley
2007,2007,0882893327,voodoo queen novel pelican pouch seri,r tallant,1983,company
2008,2008,0380817152,golden one novel suspen,e peters,2003,avon
2009,2009,0425191184,red rabbit,c tom,2003,berkley
2010,2010,8495618605,el codigo da vinci da vinci code,b dan,2003,edicione
2011,2011,0399142991,occa last afternoon,g kaye,1998,putnam
2012,2012,0836218221,authorit calvin hobb calvin hobb,b watterson,1990,andrew
2013,2013,067988288X,wild magic immort paperback,p tamora,1997,random
2014,2014,0590251597,mari ann save day babi sitter club four,martin,1995,scholastic
2015,2015,0590227637,claudia phantom phone call babi sitter club two,martin,1995,scholastic
2016,2016,0590224735,kristi great idea babi sitter club one,martin,1995,scholastic
2017,2017,0141301074,twit puffin novel,roald,1998,puffin
2018,2018,0671016792,skate gold,c lovitt,1997,simon
2019,2019,0452278902,green mile complet serial novel,k stephen,1997,plume
2020,2020,074343627X,dreamcatch,k stephen,2001,pocket
2021,2021,039914465X,southern cross,c patricia,1999,putnam
2022,2022,1558747699,chicken soup writer soul stori open heart rekindl spirit writer chicken soup soul,c jack,2000,communication
2023,2023,067102423X,bag bone,k stephen,1999,pocket
2024,2024,0380797399,fade coat blue,parry,2000,avon
2025,2025,0060198524,popul four hundr eighti five meet neighbor one siren time wisconsin,perry,2002,harpercollin
2026,2026,0345334531,feast saint,rice,1986,ballantine
2027,2027,0316316962,tip point littl thing make big differ,g malcolm,2000,little
2028,2028,0060920432,flow psycholog optim experi,c mihaly,1991,perennial
2029,2029,0399143947,point origin,c patricia,1998,putnam
2030,2030,0440237262,program,white,2002,company
2031,2031,0380713330,anim liber,p singer,1991,avon
2032,2032,014004387X,fifth busi,robertson,1977,penguin
2033,2033,0486264785,import earnest dover thrift edit,wilde,1990,dover
2034,2034,0060809833,brave new world,huxley,1989,harpercollin
2035,2035,0441172660,dune dune chronicl berkley paperback,f herbert,1987,ace
